ip,lat,lon
87.13.144.25,37.4922,15.0704
208.77.208.227,46.1107,-118.3077
180.103.238.71,31.3041,120.5954
174.110.153.34,34.1954,-79.7626
93.2.79.240,43.6019,6.4483
100.15.66.163,38.757,-77.1487
59.96.104.109,18.5333,73.8667
87.110.137.135,56.65,23.7128
92.210.209.238,50.1109,8.68213
121.43.184.57,30.2936,120.1614
23.110.59.27,33.6748,-111.9519
157.131.242.160,38.3928,-122.7507
185.107.53.210,51.954,7.0048
83.60.148.62,41.3888,2.159
172.90.58.216,33.8161,-117.9794
82.33.151.1,55.95,-3.2
23.37.227.185,42.3626,-71.0843
181.231.6.6,-34.6339,-58.8583
188.142.212.112,47.4467,21.3924
122.8.37.133,24.9056,67.0822
78.239.227.241,48.6925,2.6109
220.85.1.12,37.5111,126.9743
88.209.109.212,43.7333,7.4167
222.238.111.152,37.5111,126.9743
168.227.153.40,-23.4507,-46.5262
162.247.190.23,48.1387,-101.3393
84.100.51.77,48.9833,2.2333
173.88.31.87,39.9641,-83.0846
114.253.175.179,39.9289,116.3883
94.156.2.20,42.6833,23.3167
201.240.34.227,-12.1097,-77.0165
83.115.242.131,49.1972,-0.3268
179.56.109.110,-36.8333,-73.05
143.176.75.152,51.5672,5.093
82.231.169.28,48.8537,2.549
150.255.80.166,20.0458,110.3417
